,predicted_mean
11,-0.36620459999999966
12,-0.05945849999999919
13,-6.629801199999999
14,-1.0220753999999994
15,-1.9992745999999997
16,-12.212385100000002
17,-2.6511674000000003
18,14.916406300000004
19,-4.7721359
20,8.456333800000003
21,-8.240651199999995
22,-1.0391552999999973
23,-1.0391552999999973
24,-0.7324091999999969
25,-7.302751899999997
26,-1.695026099999997
27,-2.6722252999999974
28,-12.8853358
29,-3.324118099999998
30,14.243455600000006
31,-5.445086599999998
32,7.783383100000005
33,-8.913601899999993
34,-1.712105999999995
35,-1.712105999999995
36,-1.4053598999999946
37,-7.975702599999995
38,-2.3679767999999948
39,-3.345175999999995
40,-13.558286499999998
41,-3.9970687999999956
42,13.570504900000008
43,-6.118037299999996
44,7.110432400000008
45,-9.58655259999999
46,-2.3850566999999927
47,-2.3850566999999927
48,-2.078310599999992
49,-8.648653299999992
50,-3.0409274999999925
51,-4.018126699999993
52,-14.231237199999995
53,-4.670019499999993
54,12.89755420000001
55,-6.790987999999993
56,6.43748170000001
57,-10.259503299999988
58,-3.0580073999999904
59,-3.0580073999999904
60,-2.7512612999999897
61,-9.32160399999999
62,-3.71387819999999
63,-4.69107739999999
64,-14.904187899999993
65,-5.342970199999991
66,12.224603500000013
67,-7.463938699999991
68,5.764531000000012
69,-10.932453999999986
70,-3.730958099999988
71,-3.730958099999988
72,-3.4242119999999874
73,-9.994554699999988
74,-4.386828899999988
75,-5.364028099999988
76,-15.57713859999999
77,-6.015920899999989
78,11.551652800000015
79,-8.136889399999989
80,5.091580300000015
81,-11.605404699999983
82,-4.403908799999986
83,-4.403908799999986
84,-4.097162699999985
85,-10.667505399999985
86,-5.0597795999999855
87,-6.036978799999986
88,-16.25008929999999
89,-6.688871599999986
90,10.878702100000018
91,-8.809840099999986
92,4.418629600000017
93,-12.278355399999981
94,-5.076859499999983
95,-5.076859499999983
96,-4.770113399999983
97,-11.340456099999983
98,-5.732730299999983
99,-6.7099294999999834
100,-16.923039999999986
101,-7.361822299999984
102,10.20575140000002
103,-9.482790799999984
104,3.7456789000000192
105,-12.951306099999979
106,-5.749810199999981
107,-5.749810199999981
108,-5.44306409999998
109,-12.01340679999998
110,-6.405680999999981
111,-7.382880199999981
112,-17.595990699999984
113,-8.034772999999982
114,9.532800700000022
115,-10.155741499999982
116,3.0727282000000216
117,-13.624256799999976
118,-6.422760899999979
119,-6.422760899999979
120,-6.116014799999978
121,-12.686357499999978
122,-7.0786316999999785
123,-8.055830899999979
124,-18.26894139999998
125,-8.70772369999998
126,8.859850000000025
127,-10.82869219999998
128,2.399777500000024
